Employee_ID,Hospital,Department,Job_Level,Job_Role,Location,Gender,Age,Education,Employment_Type,Work_Mode,Shift,Years_at_Hospital,Years_in_Current_Role,Total_Work_Experience,Monthly_Salary_INR,Annual_Salary_INR,Annual_Bonus_INR,Job_Satisfaction,Work_Life_Balance,Performance_Rating,Overtime_Hours_Month,Overtime,Night_Shifts_Month,Training_Hours_Year,Patients_Handled_Month,Projects_Count,Promotions_Last_5_Years,Manager_Rating,Distance_From_Home_KM,Salary_Growth_Potential,Attrition_Probability,Attrition
HOSP10011,Mangalore Medical Centre,Administration,L3,Receptionist,Udupi,Female,51,MD/MS,Full-Time,On-Site,Day,20,0,18,22860,274320,193877,1,4,5,71,Yes,13,120,142,1,1,4,27.2,Medium,0.977,Yes
HOSP10012,Manipal Hospital,Emergency,L3,Lab Technician,Kochi,Male,44,Diploma,Full-Time,On-Site,Day,9,2,3,152801,1833612,112413,3,1,1,30,Yes,8,23,396,6,3,4,28.7,Low,0.8525,Yes
HOSP10013,Manipal Hospital,IT,L4,Resident Doctor,Chennai,Female,34,MBBS,Full-Time,On-Site,Night,1,0,6,49351,592212,211455,5,1,3,33,Yes,13,69,115,3,2,1,34.5,Medium,0.9155,Yes
HOSP10014,Fortis Hospital,Surgery,L3,IT Support Engineer,Kochi,Male,45,Diploma,Full-Time,On-Site,Rotational,6,2,3,80744,968928,14507,2,2,4,6,No,8,16,112,4,2,5,7.3,Medium,0.4939,No
HOSP10015,Apollo Hospital,Laboratory,L3,Data Analyst,Kochi,Female,54,MD/MS,Full-Time,On-Site,Rotational,12,3,24,173418,2081016,62931,4,4,3,6,No,11,27,22,10,3,4,43.8,High,0.7336,Yes
HOSP10016,Manipal Hospital,Pediatrics,L4,IT Support Engineer,Bengaluru,Female,23,Diploma,Full-Time,On-Site,Rotational,2,6,10,138198,1658376,75499,3,3,3,46,Yes,1,49,21,9,0,5,16.7,Medium,0.7585,No
HOSP10017,District General Hospital,ICU,L2,Medical Officer,Mangaluru,Male,44,Bachelor's,Contract,Hybrid,Day,14,4,11,92155,1105860,202714,5,1,1,7,No,14,94,390,0,1,2,28.5,High,0.8134,Yes
HOSP10018,Fortis Hospital,Cardiology,L1,Consultant Doctor,Chennai,Female,29,MBBS,Full-Time,On-Site,Rotational,0,4,13,139449,1673388,203941,2,5,4,77,Yes,0,99,324,1,1,1,21.4,High,0.946,Yes
HOSP10019,CityCare Hospital,Pediatrics,L1,Pharmacist,Udupi,Female,46,Diploma,Full-Time,On-Site,Night,2,0,12,94700,1136400,114362,3,2,5,0,No,10,54,376,3,0,2,21.3,Low,0.6469,Yes
HOSP10020,Apollo Hospital,ICU,L2,Senior Nurse,Bengaluru,Male,40,Master's,Full-Time,On-Site,Day,9,7,28,24955,299460,97449,1,2,1,76,Yes,3,72,167,7,2,5,31.8,Medium,0.9693,Yes
HOSP10021,District General Hospital,Physiotherapy,L2,Pharmacist,Mysuru,Female,60,Diploma,Full-Time,Hybrid,Night,14,3,9,39662,475944,96819,4,1,1,2,No,3,9,304,9,2,4,44.8,Medium,0.6054,Yes
HOSP10022,District General Hospital,Outpatient,L5,Resident Doctor,Udupi,Male,30,MBBS,Full-Time,On-Site,Day,5,9,17,24408,292896,39423,5,4,4,52,Yes,12,20,164,3,3,2,29.8,High,0.9418,Yes
HOSP10023,CityCare Hospital,Nursing,L1,Data Analyst,Hubballi,Male,39,MD/MS,Full-Time,On-Site,Night,19,4,15,19225,230700,103612,2,2,2,37,Yes,1,57,349,2,3,3,35.8,Low,0.8847,Yes
HOSP10024,Apollo Hospital,Nursing,L3,Data Analyst,Udupi,Male,23,MD/MS,Full-Time,On-Site,Night,14,1,4,161268,1935216,226423,1,1,1,50,Yes,2,33,380,2,3,1,1.7,Low,0.8506,Yes
HOSP10025,Fortis Hospital,Nursing,L1,Medical Officer,Udupi,Female,44,MBBS,Full-Time,On-Site,Night,20,0,7,164444,1973328,86120,3,4,3,14,No,2,94,281,4,0,5,36.6,Low,0.6156,Yes
HOSP10026,AIIMS Mangaluru,General Medicine,L4,Hospital Administrator,Kochi,Male,25,Bachelor's,Full-Time,On-Site,Rotational,6,8,13,35279,423348,117409,4,1,3,66,Yes,4,92,81,2,0,4,13.8,Medium,0.9083,Yes
HOSP10027,Apollo Hospital,Pharmacy,L5,Senior Nurse,Udupi,Male,23,Bachelor's,Full-Time,On-Site,Rotational,20,1,4,128401,1540812,90918,3,1,5,63,Yes,0,106,245,7,2,2,6.1,Low,0.836,Yes
HOSP10028,CityCare Hospital,Radiology,L2,Billing Executive,Hubballi,Female,47,MD/MS,Full-Time,Hybrid,Rotational,4,5,25,110404,1324848,66600,3,4,1,67,Yes,8,42,50,4,3,1,5.5,Medium,0.9143,Yes
HOSP10029,District General Hospital,Radiology,L4,Data Analyst,Hubballi,Male,36,MD/MS,Full-Time,Hybrid,Night,3,0,27,66481,797772,41848,2,4,5,4,No,7,10,209,6,2,4,30.8,High,0.5837,No
HOSP10030,Fortis Hospital,Nursing,L1,Data Analyst,Mangaluru,Female,35,MBBS,Contract,Hybrid,Rotational,17,0,23,177547,2130564,240491,1,4,1,9,No,7,32,394,10,0,2,44.9,Medium,0.8553,Yes
HOSP10031,Apollo Hospital,Cardiology,L4,Medical Officer,Udupi,Female,55,Bachelor's,Full-Time,On-Site,Rotational,2,8,7,62552,750624,6820,5,1,4,7,No,2,57,287,7,1,5,30.1,Medium,0.5271,No
HOSP10032,AIIMS Mangaluru,Laboratory,L2,Lab Technician,Kochi,Female,32,MD/MS,Full-Time,On-Site,Day,16,3,24,155930,1871160,8512,2,2,1,11,No,1,45,31,4,2,3,12.2,High,0.4656,Yes
HOSP10033,AIIMS Mangaluru,Surgery,L4,Physiotherapist,Udupi,Female,46,Bachelor's,Contract,On-Site,Night,17,8,25,92474,1109688,167797,4,3,2,63,Yes,0,60,210,7,0,3,9.5,Medium,0.8274,Yes
HOSP10034,Manipal Hospital,Laboratory,L1,Senior Nurse,Mysuru,Male,54,MD/MS,Full-Time,On-Site,Day,17,10,5,43168,518016,51534,3,3,3,58,Yes,11,61,44,2,3,5,23.9,Low,0.9332,Yes
HOSP10035,Manipal Hospital,Surgery,L3,Pharmacist,Mysuru,Male,43,Diploma,Full-Time,On-Site,Day,1,4,15,50099,601188,216223,4,1,4,66,Yes,5,0,110,6,1,1,3.4,Medium,0.9104,Yes
HOSP10036,Mangalore Medical Centre,Laboratory,L4,Resident Doctor,Kochi,Male,51,Master's,Part-Time,On-Site,Rotational,12,6,27,79455,953460,125191,2,1,3,49,Yes,12,20,107,7,1,5,18.3,Medium,0.9505,Yes
HOSP10037,CityCare Hospital,Pharmacy,L2,Data Analyst,Mangaluru,Male,40,PhD,Contract,On-Site,Rotational,14,0,3,72240,866880,170848,2,2,5,22,Yes,9,61,351,6,1,2,30.1,Low,0.8969,Yes
HOSP10038,Apollo Hospital,General Medicine,L1,Data Analyst,Mangaluru,Male,32,Diploma,Full-Time,On-Site,Day,4,5,11,92796,1113552,60945,5,4,4,39,Yes,0,63,293,1,3,1,43.6,Medium,0.8023,No
HOSP10039,Apollo Hospital,General Medicine,L1,Receptionist,Hubballi,Female,43,PhD,Full-Time,On-Site,Rotational,2,7,10,72592,871104,245420,3,1,2,77,Yes,13,86,320,7,1,3,19.4,High,0.978,Yes
HOSP10040,Mangalore Medical Centre,Nursing,L2,Ward Assistant,Hubballi,Male,24,MD/MS,Full-Time,On-Site,Rotational,4,0,2,140181,1682172,83420,2,5,3,76,Yes,10,120,130,5,0,2,9.4,Medium,0.9683,Yes
HOSP10041,District General Hospital,Physiotherapy,L3,Lab Technician,Bengaluru,Male,43,Master's,Contract,On-Site,Rotational,4,8,30,119611,1435332,178527,4,4,1,75,Yes,4,72,99,9,2,4,36.9,Medium,0.9625,Yes
HOSP10042,District General Hospital,ICU,L1,Data Analyst,Kochi,Male,21,Master's,Full-Time,On-Site,Day,4,2,11,76046,912552,83488,5,1,1,17,No,8,55,343,2,1,4,33.6,Medium,0.7927,Yes
HOSP10043,Mangalore Medical Centre,Physiotherapy,L2,Physiotherapist,Udupi,Female,45,MD/MS,Full-Time,On-Site,Rotational,2,0,29,34488,413856,183505,4,5,1,20,Yes,10,0,159,3,1,4,38.8,High,0.8261,No
HOSP10044,District General Hospital,Administration,L1,Ward Assistant,Chennai,Female,22,MD/MS,Contract,On-Site,Night,2,0,4,136521,1638252,9711,3,2,4,0,No,8,20,233,6,0,3,10.1,High,0.4585,Yes
HOSP10045,Manipal Hospital,General Medicine,L4,Receptionist,Kochi,Male,50,Bachelor's,Full-Time,On-Site,Rotational,19,10,5,149467,1793604,190334,5,5,2,37,Yes,12,21,37,2,3,5,18.5,Medium,0.8338,Yes
HOSP10046,Apollo Hospital,General Medicine,L1,Staff Nurse,Bengaluru,Female,23,MD/MS,Full-Time,On-Site,Day,17,5,18,159917,1919004,86009,5,1,2,40,Yes,11,53,73,0,1,1,44.2,Medium,0.9622,Yes
HOSP10047,Mangalore Medical Centre,Pediatrics,L2,Lab Technician,Hubballi,Male,41,MBBS,Full-Time,On-Site,Day,19,10,17,36394,436728,214857,5,3,2,41,Yes,14,3,387,5,0,3,7.5,Medium,0.8541,No
HOSP10048,Apollo Hospital,Pediatrics,L1,Resident Doctor,Kochi,Male,45,MD/MS,Full-Time,On-Site,Rotational,3,5,15,111993,1343916,9597,1,1,3,8,No,3,64,116,2,0,2,30.4,Medium,0.6779,Yes
HOSP10049,AIIMS Mangaluru,ICU,L2,Consultant Doctor,Kochi,Female,40,MBBS,Contract,On-Site,Night,0,0,22,77332,927984,60067,5,3,4,22,Yes,6,50,302,10,3,2,11.1,Low,0.6499,Yes
HOSP10050,Manipal Hospital,IT,L4,Senior Nurse,Hubballi,Female,42,MD/MS,Full-Time,On-Site,Day,15,2,10,60628,727536,218592,4,2,1,77,Yes,13,73,253,9,3,4,22.8,Medium,0.9766,Yes
HOSP10051,Fortis Hospital,Administration,L2,Medical Officer,Bengaluru,Male,41,Bachelor's,Part-Time,Hybrid,Day,7,6,4,39352,472224,48022,4,2,3,10,No,10,62,259,5,2,1,36.1,Medium,0.7565,Yes
HOSP10052,Manipal Hospital,Physiotherapy,L1,Resident Doctor,Hubballi,Male,53,MBBS,Full-Time,On-Site,Rotational,16,9,8,100971,1211652,212996,3,4,2,70,Yes,6,14,353,9,1,4,22.2,Low,0.9547,Yes
HOSP10053,Mangalore Medical Centre,Cardiology,L4,Billing Executive,Mangaluru,Female,58,Diploma,Full-Time,Hybrid,Day,7,2,30,69993,839916,112673,2,4,1,30,Yes,3,115,363,2,2,2,36.3,Low,0.8403,No
HOSP10054,Fortis Hospital,Pediatrics,L4,Senior Nurse,Udupi,Male,35,MBBS,Contract,On-Site,Rotational,6,2,2,121027,1452324,237335,2,3,4,25,Yes,4,35,73,5,0,2,19.5,Low,0.8018,Yes
HOSP10055,AIIMS Mangaluru,Cardiology,L1,Ward Assistant,Hubballi,Female,35,Bachelor's,Full-Time,On-Site,Day,7,2,29,138212,1658544,246928,1,3,5,29,Yes,10,28,106,10,1,5,45.0,Medium,0.9176,Yes
HOSP10056,Mangalore Medical Centre,Emergency,L4,Hospital Administrator,Bengaluru,Male,45,PhD,Full-Time,Hybrid,Day,20,6,30,26539,318468,149854,5,2,2,33,Yes,8,51,280,3,0,5,19.9,Medium,0.8294,Yes
HOSP10057,CityCare Hospital,Pediatrics,L5,Medical Officer,Mysuru,Female,41,MBBS,Full-Time,On-Site,Night,11,3,7,150335,1804020,51782,1,5,2,45,Yes,6,45,255,3,0,5,7.1,Low,0.8511,Yes
HOSP10058,Apollo Hospital,Pharmacy,L1,Radiology Technician,Mangaluru,Male,44,MD/MS,Contract,On-Site,Night,15,3,5,162377,1948524,203216,3,3,2,68,Yes,15,68,142,9,0,4,18.4,High,0.9694,No
HOSP10059,AIIMS Mangaluru,IT,L4,Pharmacist,Mysuru,Male,25,MD/MS,Full-Time,On-Site,Night,11,2,3,71817,861804,229723,3,3,2,4,No,6,28,73,9,3,1,33.5,Medium,0.5824,No
HOSP10060,Apollo Hospital,Administration,L3,Staff Nurse,Chennai,Female,26,PhD,Full-Time,On-Site,Night,18,9,11,173470,2081640,186085,2,5,1,60,Yes,9,110,235,10,3,5,38.2,Low,0.9676,Yes
HOSP10061,District General Hospital,Outpatient,L2,Lab Technician,Hubballi,Male,43,Bachelor's,Full-Time,Hybrid,Rotational,9,10,11,67107,805284,110716,3,4,4,37,Yes,6,46,216,1,1,3,21.0,Low,0.8022,No
HOSP10062,CityCare Hospital,ICU,L1,Data Analyst,Mangaluru,Male,24,Master's,Full-Time,On-Site,Rotational,6,8,30,179696,2156352,239381,5,4,3,27,Yes,14,90,58,3,0,5,27.0,Medium,0.8348,Yes
HOSP10063,CityCare Hospital,Emergency,L1,Hospital Administrator,Udupi,Female,47,MD/MS,Part-Time,On-Site,Day,11,1,24,147240,1766880,118030,4,3,1,25,Yes,8,24,384,10,0,4,38.1,Low,0.853,Yes
HOSP10064,AIIMS Mangaluru,Outpatient,L4,Receptionist,Hubballi,Male,38,Diploma,Full-Time,On-Site,Night,19,3,20,117655,1411860,72036,3,4,4,60,Yes,4,79,247,3,1,1,36.7,Low,0.944,Yes
HOSP10065,CityCare Hospital,Administration,L5,Billing Executive,Udupi,Male,41,Bachelor's,Full-Time,On-Site,Rotational,4,7,15,74132,889584,35342,1,4,3,22,Yes,5,15,256,10,2,5,29.8,Medium,0.7414,Yes
HOSP10066,Fortis Hospital,Physiotherapy,L3,Hospital Administrator,Kochi,Male,48,MBBS,Full-Time,On-Site,Night,15,5,30,143701,1724412,85745,5,4,2,45,Yes,2,99,151,6,0,1,36.8,Medium,0.8714,No
HOSP10067,CityCare Hospital,Nursing,L2,Resident Doctor,Mysuru,Female,55,MBBS,Full-Time,On-Site,Day,8,6,9,123494,1481928,152049,3,2,4,29,Yes,0,88,349,4,3,3,26.1,High,0.5983,Yes
HOSP10068,Apollo Hospital,Pharmacy,L3,Staff Nurse,Mangaluru,Female,42,Diploma,Contract,On-Site,Rotational,6,6,21,70979,851748,234648,3,1,2,66,Yes,10,40,340,7,2,2,0.7,High,0.9435,Yes
HOSP10069,Apollo Hospital,Administration,L3,Consultant Doctor,Udupi,Female,60,MD/MS,Full-Time,On-Site,Rotational,19,1,13,76013,912156,57396,5,3,4,32,Yes,15,64,187,6,2,1,2.3,High,0.7292,Yes
HOSP10070,Mangalore Medical Centre,Pharmacy,L2,IT Support Engineer,Bengaluru,Male,43,Bachelor's,Contract,On-Site,Rotational,13,3,30,81797,981564,114836,3,3,5,2,No,11,68,56,9,2,5,44.1,Low,0.7117,Yes
HOSP10071,Apollo Hospital,Pharmacy,L1,Senior Nurse,Udupi,Male,23,Diploma,Full-Time,On-Site,Day,10,9,30,69798,837576,106998,4,2,2,68,Yes,1,104,86,8,2,4,7.0,Low,0.867,Yes
HOSP10072,Mangalore Medical Centre,Cardiology,L4,Senior Nurse,Bengaluru,Male,60,MD/MS,Full-Time,On-Site,Day,6,9,12,165722,1988664,50021,2,1,2,41,Yes,7,19,130,7,2,4,18.5,High,0.8779,Yes
HOSP10073,Apollo Hospital,Laboratory,L2,Resident Doctor,Hubballi,Male,30,Bachelor's,Contract,On-Site,Rotational,9,5,8,175086,2101032,200129,5,1,2,61,Yes,12,68,238,8,2,4,42.1,Medium,0.9781,Yes
HOSP10074,Fortis Hospital,Outpatient,L4,Physiotherapist,Mangaluru,Female,45,MBBS,Full-Time,On-Site,Day,8,2,6,94421,1133052,130672,1,2,1,57,Yes,0,35,228,0,1,4,9.2,Medium,0.8718,Yes
HOSP10075,Mangalore Medical Centre,Nursing,L2,Physiotherapist,Udupi,Male,28,Bachelor's,Full-Time,On-Site,Night,3,8,11,25434,305208,118559,3,5,3,56,Yes,9,92,400,9,1,1,38.0,Low,0.963,Yes
HOSP10076,Manipal Hospital,Physiotherapy,L1,Data Analyst,Chennai,Male,31,PhD,Contract,Hybrid,Night,15,3,4,48028,576336,66836,2,5,2,0,No,6,111,106,2,2,4,36.9,Low,0.6414,Yes
HOSP10077,District General Hospital,Emergency,L1,Billing Executive,Udupi,Male,25,Master's,Full-Time,On-Site,Day,9,9,17,84558,1014696,158147,1,1,2,72,Yes,4,97,322,4,3,2,44.4,Low,0.9853,Yes
HOSP10078,AIIMS Mangaluru,Administration,L2,Radiology Technician,Chennai,Female,57,Bachelor's,Full-Time,Hybrid,Rotational,18,1,3,42331,507972,220587,1,5,1,59,Yes,15,57,198,8,1,3,13.0,Medium,0.9612,Yes
HOSP10079,Apollo Hospital,Surgery,L5,Pharmacist,Mangaluru,Male,58,Master's,Full-Time,On-Site,Rotational,16,5,1,85573,1026876,161874,4,5,1,68,Yes,12,47,32,7,1,1,14.5,Low,0.9692,Yes
HOSP10080,CityCare Hospital,Emergency,L1,Medical Officer,Udupi,Male,49,Bachelor's,Full-Time,On-Site,Rotational,8,0,2,147473,1769676,208833,2,5,5,58,Yes,5,81,319,9,2,1,40.7,Medium,0.9505,Yes
HOSP10081,Apollo Hospital,Laboratory,L4,Consultant Doctor,Bengaluru,Male,25,Master's,Full-Time,On-Site,Day,12,5,25,100979,1211748,77017,5,1,4,45,Yes,15,1,144,6,3,4,10.9,Medium,0.8944,Yes
HOSP10082,CityCare Hospital,Emergency,L3,Data Analyst,Udupi,Male,29,PhD,Full-Time,Hybrid,Day,0,9,11,22123,265476,217825,2,5,2,33,Yes,7,79,394,1,2,4,24.9,Low,0.823,Yes
HOSP10083,District General Hospital,General Medicine,L4,Staff Nurse,Mysuru,Male,22,MBBS,Full-Time,On-Site,Night,1,0,2,34603,415236,241421,2,3,4,24,Yes,3,28,252,10,3,1,32.0,Low,0.7892,Yes
HOSP10084,District General Hospital,Physiotherapy,L2,Physiotherapist,Hubballi,Female,21,MD/MS,Part-Time,Hybrid,Day,12,7,3,83941,1007292,186894,1,1,1,41,Yes,5,96,270,5,3,4,12.6,Medium,0.8,Yes
HOSP10085,District General Hospital,Surgery,L4,Radiology Technician,Kochi,Male,60,Master's,Full-Time,Hybrid,Rotational,8,4,5,60597,727164,182675,4,2,1,28,Yes,13,15,145,3,0,4,42.3,Low,0.9411,Yes
HOSP10086,CityCare Hospital,Laboratory,L4,Radiology Technician,Bengaluru,Male,50,PhD,Full-Time,On-Site,Day,6,5,11,102238,1226856,102689,4,5,5,24,Yes,10,34,254,4,1,4,30.1,Low,0.8166,Yes
HOSP10087,Apollo Hospital,Cardiology,L2,Billing Executive,Mysuru,Male,31,Master's,Full-Time,On-Site,Night,15,1,18,59751,717012,80291,2,4,3,53,Yes,2,110,157,4,2,4,2.6,Low,0.7696,Yes
HOSP10088,District General Hospital,Outpatient,L1,Resident Doctor,Chennai,Male,48,MBBS,Full-Time,On-Site,Night,18,1,9,144462,1733544,90450,2,1,1,72,Yes,6,61,68,3,1,4,6.5,Medium,0.9447,Yes
HOSP10089,Fortis Hospital,Administration,L4,Consultant Doctor,Hubballi,Male,32,Master's,Full-Time,On-Site,Rotational,6,8,29,104978,1259736,166664,3,2,2,66,Yes,1,106,399,3,1,5,9.0,Medium,0.8647,Yes
HOSP10090,Mangalore Medical Centre,IT,L5,Ward Assistant,Mangaluru,Male,59,PhD,Part-Time,On-Site,Day,5,2,0,35693,428316,56006,1,3,5,14,No,11,105,205,3,3,5,11.4,Low,0.6104,Yes
HOSP10091,CityCare Hospital,Radiology,L1,Medical Officer,Bengaluru,Male,46,PhD,Full-Time,On-Site,Night,17,5,16,112524,1350288,157341,5,2,3,3,No,7,80,224,10,1,5,33.0,Medium,0.5987,No
HOSP10092,CityCare Hospital,Outpatient,L3,Billing Executive,Kochi,Male,33,Diploma,Part-Time,On-Site,Day,18,9,15,115869,1390428,104268,5,5,5,37,Yes,12,3,97,1,0,1,4.5,High,0.8026,No
HOSP10093,Apollo Hospital,Laboratory,L4,Pharmacist,Hubballi,Male,28,MBBS,Contract,On-Site,Rotational,10,4,8,179064,2148768,50138,4,4,1,19,No,6,112,213,0,2,3,16.1,Medium,0.5445,Yes
HOSP10094,CityCare Hospital,ICU,L4,Billing Executive,Chennai,Male,48,Diploma,Full-Time,On-Site,Day,11,3,24,81825,981900,62398,1,5,3,22,Yes,11,67,122,1,1,1,41.1,Low,0.9144,Yes
HOSP10095,CityCare Hospital,Physiotherapy,L5,Billing Executive,Kochi,Female,50,MBBS,Full-Time,On-Site,Rotational,9,9,20,158594,1903128,221163,4,2,4,36,Yes,11,50,124,6,2,5,25.3,Medium,0.8671,Yes
HOSP10096,District General Hospital,Administration,L4,Lab Technician,Mangaluru,Female,29,Master's,Full-Time,On-Site,Rotational,12,1,8,148475,1781700,150946,5,1,3,61,Yes,7,88,395,0,1,1,12.3,Medium,0.9245,Yes
HOSP10097,Apollo Hospital,Outpatient,L2,Resident Doctor,Mangaluru,Female,59,PhD,Full-Time,On-Site,Day,11,7,26,63406,760872,57228,2,4,2,7,No,15,32,306,5,2,3,43.1,High,0.8511,Yes
HOSP10098,District General Hospital,Nursing,L2,Medical Officer,Chennai,Female,51,Diploma,Contract,On-Site,Rotational,20,9,22,161193,1934316,62670,1,4,4,36,Yes,1,77,343,3,2,4,11.4,High,0.6362,No
HOSP10099,Mangalore Medical Centre,Laboratory,L2,Lab Technician,Bengaluru,Male,41,Master's,Contract,On-Site,Day,9,6,8,141371,1696452,125613,1,2,4,44,Yes,2,23,230,1,2,2,40.8,Medium,0.9392,Yes
HOSP10100,Mangalore Medical Centre,General Medicine,L3,Lab Technician,Chennai,Female,54,PhD,Full-Time,On-Site,Rotational,19,10,11,163291,1959492,102071,3,5,2,32,Yes,15,74,269,2,1,5,32.8,Medium,0.8945,Yes
HOSP10101,District General Hospital,Radiology,L3,Receptionist,Udupi,Female,51,MBBS,Full-Time,On-Site,Night,17,1,22,19617,235404,242952,2,2,4,6,No,11,24,312,6,0,5,33.5,High,0.7929,Yes
HOSP10102,Mangalore Medical Centre,General Medicine,L2,Consultant Doctor,Mangaluru,Male,45,PhD,Contract,On-Site,Night,3,5,8,61016,732192,110572,2,4,1,21,Yes,3,27,220,5,2,3,34.5,High,0.7672,Yes
HOSP10103,Apollo Hospital,Radiology,L4,Receptionist,Hubballi,Female,32,Master's,Contract,On-Site,Night,4,7,14,42276,507312,247766,4,2,3,4,No,11,6,43,5,3,4,23.0,Medium,0.6626,Yes
HOSP10104,AIIMS Mangaluru,Outpatient,L3,Consultant Doctor,Udupi,Female,21,Diploma,Full-Time,On-Site,Day,4,6,1,90240,1082880,138997,1,4,3,14,No,8,112,319,7,3,4,36.7,Low,0.7658,No
HOSP10105,District General Hospital,Nursing,L3,Data Analyst,Mysuru,Male,42,Diploma,Full-Time,Hybrid,Rotational,11,0,10,124292,1491504,3107,4,5,2,20,Yes,11,35,102,7,3,2,37.7,Low,0.8617,Yes
HOSP10106,Fortis Hospital,IT,L2,Staff Nurse,Kochi,Male,60,PhD,Full-Time,On-Site,Day,2,4,10,35959,431508,86388,2,1,1,16,No,11,9,316,5,0,4,16.5,Medium,0.7888,Yes
HOSP10107,Fortis Hospital,Physiotherapy,L3,Radiology Technician,Udupi,Male,57,Master's,Contract,On-Site,Rotational,7,1,7,46522,558264,95719,3,1,4,55,Yes,15,112,198,0,2,3,18.3,Medium,0.9451,Yes
HOSP10108,CityCare Hospital,ICU,L1,Medical Officer,Kochi,Female,21,Bachelor's,Full-Time,On-Site,Night,1,5,22,159025,1908300,118018,1,2,3,49,Yes,4,35,317,9,0,4,40.0,High,0.9523,Yes
HOSP10109,Mangalore Medical Centre,Administration,L2,Resident Doctor,Chennai,Female,21,MBBS,Full-Time,On-Site,Rotational,17,6,5,44567,534804,27617,2,4,3,6,No,5,94,383,6,2,3,23.9,High,0.4816,No
HOSP10110,Fortis Hospital,Cardiology,L1,Data Analyst,Udupi,Male,41,MBBS,Full-Time,On-Site,Day,8,6,20,80708,968496,74258,3,1,3,49,Yes,0,82,225,7,0,5,39.1,Low,0.9032,Yes
HOSP10111,CityCare Hospital,General Medicine,L1,IT Support Engineer,Chennai,Male,35,Master's,Full-Time,On-Site,Night,12,2,19,144206,1730472,50075,5,4,3,59,Yes,3,17,59,4,2,5,28.4,Medium,0.8946,Yes
HOSP10112,AIIMS Mangaluru,General Medicine,L2,Billing Executive,Mysuru,Female,37,Bachelor's,Full-Time,On-Site,Night,6,6,6,40560,486720,126998,2,5,5,6,No,13,112,323,10,3,5,26.9,Low,0.6924,Yes
HOSP10113,Apollo Hospital,Pharmacy,L3,Senior Nurse,Mangaluru,Male,42,Diploma,Contract,On-Site,Rotational,9,4,2,76390,916680,22631,5,2,2,39,Yes,3,5,132,3,2,1,1.9,Medium,0.7333,Yes
